,Artist,Name,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Key,Mode,Valence,Tempo,Loudness,Liveness,Instrumentalness,Acousticness,Virality
29,Taylor Swift,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,334.084,0,0.606,0.338,0,1,0.238,119.88,-10.555,0.106,0.0,0.315,1
30,Taylor Swift,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,2024-04-18,85.0,156.297,0,0.661,0.257,6,0,0.318,106.896,-13.961,0.176,1.72e-06,0.768,1
31,Taylor Swift,loml,THE TORTURED POETS DEPARTMENT,2024-04-18,87.0,277.156,1,0.423,0.272,0,1,0.195,78.539,-12.56,0.108,0.0,0.858,1
32,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,2024-04-18,89.0,218.004,1,0.701,0.751,0,1,0.22,129.994,-8.39,0.15,0.0,0.123,1
33,Taylor Swift,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,2024-04-18,88.0,245.541,1,0.426,0.41,10,1,0.263,142.377,-9.083,0.338,0.0,0.52,1
34,Taylor Swift,The Alchemy,THE TORTURED POETS DEPARTMENT,2024-04-18,86.0,196.9,0,0.64,0.421,0,1,0.353,100.056,-8.802,0.103,0.0,0.422,1
35,Taylor Swift,Clara Bow,THE TORTURED POETS DEPARTMENT,2024-04-18,85.0,216.662,0,0.686,0.318,7,1,0.214,104.088,-11.046,0.106,0.00144,0.636,1
36,Taylor Swift,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,73.0,212.6,0,0.76,0.602,7,1,0.685,116.989,-4.871,0.325,0.000133,0.00661,0
37,Taylor Swift,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,79.0,231.833,0,0.732,0.719,0,1,0.71,96.035,-5.469,0.331,0.0,0.0901,0
38,Taylor Swift,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,80.0,231.0,0,0.514,0.821,7,1,0.298,94.884,-4.803,0.0946,0.0232,0.000456,0
39,Taylor Swift,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,74.0,235.8,0,0.544,0.884,7,1,0.184,91.981,-5.973,0.381,0.000134,0.000466,0
40,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,70.0,193.289,0,0.589,0.713,0,1,0.54,97.069,-5.614,0.188,0.0,0.000778,0
41,Taylor Swift,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,76.0,219.209,0,0.632,0.805,7,1,0.903,160.052,-5.707,0.156,2.51e-05,0.0112,0
42,Taylor Swift,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,70.0,207.65,0,0.671,0.853,0,1,0.523,118.032,-6.568,0.0812,9.48e-06,0.00388,0
43,Taylor Swift,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,73.0,211.103,0,0.624,0.711,7,1,0.347,169.999,-6.347,0.19,3.13e-06,0.0369,0
44,Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,78.0,220.433,0,0.587,0.663,8,1,0.539,139.993,-7.439,0.0971,9.95e-05,0.0348,0
45,Taylor Swift,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,68.0,247.533,0,0.761,0.67,5,1,0.519,120.014,-5.956,0.0873,1.08e-05,0.00198,0
46,Taylor Swift,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023-10-27,69.0,250.1,0,0.47,0.494,4,1,0.0524,144.039,-8.672,0.0672,0.0,0.302,0
47,Taylor Swift,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,68.0,195.7,0,0.572,0.807,0,1,0.626,160.015,-5.348,0.071,0.0,0.0846,0
48,Taylor Swift,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,71.0,271.0,0,0.782,0.379,4,1,0.267,103.99,-8.964,0.103,2.98e-05,0.297,0
49,Taylor Swift,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,68.0,245.566,0,0.387,0.703,3,1,0.32,123.18,-5.956,0.128,1.1e-05,0.0105,0
50,Taylor Swift,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,70.0,267.389,0,0.554,0.509,2,1,0.401,85.079,-9.403,0.113,2.08e-06,0.572,0
51,Taylor Swift,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,75.0,230.177,0,0.653,0.848,5,1,0.724,122.017,-5.936,0.0798,4.24e-06,0.00516,0
52,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],2023-10-27,79.0,180.381,0,0.621,0.415,2,1,0.313,77.978,-13.187,0.0634,0.000112,0.33,0
53,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,75.0,279.833,0,0.632,0.539,4,1,0.186,109.962,-8.375,0.132,5.82e-06,0.0684,0
54,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,79.0,146.436,0,0.8,0.509,0,1,0.0768,109.994,-9.386,0.0834,3.05e-05,0.16,0
55,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,69.0,171.818,0,0.695,0.607,0,1,0.394,118.043,-8.84,0.102,0.0,0.212,0
56,Taylor Swift,Welcome To New York (Taylor's Version),1989 (Taylor's Version),2023-10-26,73.0,212.6,0,0.76,0.602,7,1,0.685,116.989,-4.871,0.325,0.000133,0.00661,0
57,Taylor Swift,Blank Space (Taylor's Version),1989 (Taylor's Version),2023-10-26,79.0,231.833,0,0.732,0.719,0,1,0.71,96.035,-5.469,0.331,0.0,0.0901,0
58,Taylor Swift,Style (Taylor's Version),1989 (Taylor's Version),2023-10-26,80.0,231.0,0,0.514,0.821,7,1,0.298,94.884,-4.803,0.0946,0.0232,0.000456,0
59,Taylor Swift,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),2023-10-26,74.0,235.8,0,0.544,0.884,7,1,0.184,91.981,-5.973,0.381,0.000134,0.000466,0
60,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2023-10-26,70.0,193.289,0,0.589,0.713,0,1,0.54,97.069,-5.614,0.188,0.0,0.000778,0
61,Taylor Swift,Shake It Off (Taylor's Version),1989 (Taylor's Version),2023-10-26,76.0,219.209,0,0.632,0.805,7,1,0.903,160.052,-5.707,0.156,2.51e-05,0.0112,0
62,Taylor Swift,I Wish You Would (Taylor's Version),1989 (Taylor's Version),2023-10-26,70.0,207.65,0,0.671,0.853,0,1,0.523,118.032,-6.568,0.0812,9.48e-06,0.00388,0
63,Taylor Swift,Bad Blood (Taylor's Version),1989 (Taylor's Version),2023-10-26,73.0,211.103,0,0.624,0.711,7,1,0.347,169.999,-6.347,0.19,3.13e-06,0.0369,0
64,Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),2023-10-26,78.0,220.433,0,0.587,0.663,8,1,0.539,139.993,-7.439,0.0971,9.95e-05,0.0348,0
65,Taylor Swift,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),2023-10-26,68.0,247.533,0,0.761,0.67,5,1,0.519,120.014,-5.956,0.0873,1.08e-05,0.00198,0
66,Taylor Swift,This Love (Taylor’s Version),1989 (Taylor's Version),2023-10-26,69.0,250.1,0,0.47,0.494,4,1,0.0524,144.039,-8.672,0.0672,0.0,0.302,0
67,Taylor Swift,I Know Places (Taylor's Version),1989 (Taylor's Version),2023-10-26,68.0,195.7,0,0.572,0.807,0,1,0.626,160.015,-5.348,0.071,0.0,0.0846,0
68,Taylor Swift,Clean (Taylor's Version),1989 (Taylor's Version),2023-10-26,71.0,271.0,0,0.782,0.379,4,1,0.267,103.99,-8.964,0.103,2.98e-05,0.297,0
69,Taylor Swift,Wonderland (Taylor's Version),1989 (Taylor's Version),2023-10-26,68.0,245.566,0,0.387,0.703,3,1,0.32,123.18,-5.956,0.128,1.1e-05,0.0105,0
70,Taylor Swift,You Are In Love (Taylor's Version),1989 (Taylor's Version),2023-10-26,70.0,267.389,0,0.554,0.509,2,1,0.401,85.079,-9.403,0.113,2.08e-06,0.572,0
71,Taylor Swift,New Romantics (Taylor's Version),1989 (Taylor's Version),2023-10-26,75.0,230.177,0,0.653,0.848,5,1,0.724,122.017,-5.936,0.0798,4.24e-06,0.00516,0
72,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),2023-10-26,79.0,180.381,0,0.621,0.415,2,1,0.313,77.978,-13.187,0.0634,0.000112,0.33,0
73,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,75.0,279.833,0,0.632,0.539,4,1,0.186,109.962,-8.375,0.132,5.82e-06,0.0684,0
74,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,79.0,146.436,0,0.8,0.509,0,1,0.0768,109.994,-9.386,0.0834,3.05e-05,0.16,0
75,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,69.0,171.818,0,0.695,0.607,0,1,0.394,118.043,-8.84,0.102,0.0,0.212,0
76,Taylor Swift,Mine (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,75.0,231.706,0,0.647,0.793,7,1,0.5,121.101,-2.903,0.174,1.93e-06,0.00314,0
