,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s,time_signature,popularity,release_date,explicit,release_year,virality
2201,0.8223735619560862,0.22799267690071984,0,0.2209317216466044,0,0.135,-1.158745062776077,-0.2246688312083803,0.8486240175883883,-0.5563781028484467,0.27460859995224474,-0.589622978301718,5,1.3419638163267034,2017-01-04,0,2017.0,0
2202,-2.543937859234179,0.16045443022613082,4,0.32801760584366735,0,0.0418,-0.5008301420715262,-0.22484897255955116,0.10339228642935053,-0.5478528786468402,-1.4914803424686134,0.7345198159212373,4,-0.593696443890131,2022-10-17,0,2022.0,0
2203,0.802763980861774,-0.6982461346365003,7,-0.8773697424580911,1,0.033,1.06233613569267,-0.20763728527950062,-0.4964283752352408,0.1895790147921237,-0.07830752217243184,0.8251139601505519,4,1.3097028119897562,2022-05-06,0,2022.0,0
2204,-1.4719474260784438,-0.6548286903456931,5,-0.39443925077272934,1,0.0273,-1.1290646904134656,4.457859945180627,-0.5509575262956582,-1.4515266440171315,-0.9321238749962413,0.7887172999843799,4,1.9226618943917537,2017-06-09,0,2017.0,1
2205,-0.3019090874511474,0.6476946383785226,0,-0.05200305283894599,1,0.0386,0.31702900747598567,-0.15670641235756233,-0.660015828416493,-0.4711258608323816,-0.07813992975049038,1.7043852217690318,4,1.3097028119897562,2007-01-12,0,2007.0,0
2206,0.1621843317809082,0.08326786259802905,1,0.40825744664870894,0,0.0375,-1.0687145999428227,-0.2240710894522225,-0.42978163505028616,-0.2707830920946282,0.755531813955936,-0.9735518437474091,4,1.696834864033123,2022-09-06,1,2022.0,0
2207,-0.6352719660544556,-0.06145695170466172,1,0.8858187296556665,0,0.032,0.488515603348851,-0.2258151852612857,-0.5630751154201954,-1.8931332576603492,0.7901228898446871,-0.11498817001186734,4,1.8581398857178593,2010-10-05,0,2010.0,1
2208,1.103444224307895,0.49332150312231904,3,0.7193732606251342,0,0.0278,-1.0743208925002046,-0.22565633334252594,-0.6400218063610066,0.6371532853764665,-0.7136503937531372,-0.38014964028732995,4,1.4387468293375452,2015-12-18,0,2015.0,0
2209,0.8877388322704604,-0.760960220834333,0,-0.21695707501436579,1,0.0533,-1.0034177807450777,-0.22565469569387892,-0.3631348948653315,-1.7754851636781794,-0.14494226913642244,0.24890389923995482,4,1.7936178770439648,2017-11-09,0,2017.0,0
2210,0.29291487240965647,0.7297053664833807,6,0.8404787452602527,0,0.0392,0.10596858178630524,-0.2258151852612857,0.05492192993120169,-0.7140947505781675,-0.9152305588645252,0.24967406747555315,4,1.3097028119897562,2014-10-08,0,2014.0,0
2211,0.28637834537821905,-0.04216030979763628,10,0.35605680671977863,1,0.0347,-0.7646556741836267,-0.2258151852612857,-0.4903695806729722,-0.6160546722596923,-1.4164994928919294,0.06140520007674718,4,1.4064858250005978,2009-07-27,0,2009.0,0
2212,-0.8771234662176395,-0.5872904436711044,0,0.38827205879020416,0,0.0327,1.4053093274384005,-0.2258069151356183,-0.44189922417482336,-1.1105176759528705,2.598109937750952,1.2760971503665488,4,1.3097028119897562,2011-05-30,0,2011.0,0
2213,0.253695710221032,0.19904771404018168,11,1.1128169410037583,0,0.35,-1.0898206425117907,-0.2258151852612857,2.6904975645180427,0.0659632638688295,1.385444691065732,-0.7103406381975743,4,1.277441807652809,2022-09-07,0,2022.0,0
2214,1.4237340488483277,-0.9056850351370238,0,0.5263800375736029,1,0.0349,1.3657354976215854,-0.2258151852612857,-0.41766404592574896,0.6158402248724502,-1.018065268967907,-0.7053097005295539,4,1.6645738596961757,2021-02-12,0,2021.0,0
2215,0.14257475068659595,0.666991280285548,2,1.1098340472935335,1,0.0311,-0.7646556741836267,-0.2258151852612857,-0.7436271933757996,-0.9229627435175272,-0.11095452596666078,0.11357788700436545,4,1.696834864033123,2008-11-11,0,2008.0,0
2217,-0.6548815471487678,-0.5052797155662463,7,0.19915659756196502,0,0.0337,1.1151012421150897,-0.2258151852612857,-0.7836152374867724,-0.8632861741062815,0.3920908877333246,0.25046907984778344,4,1.3097028119897562,2018-09-21,0,2018.0,0
2218,0.8877388322704604,0.613925515041228,2,0.4142232340691583,1,0.123,0.15873368820872522,-0.2258151852612857,-0.8963088163449684,-0.08322815965928476,-1.417672639845521,0.6459132026224988,4,1.3419638163267034,2022-09-23,1,2022.0,0
2219,0.8550561971132733,0.23764099785423254,1,-0.02187582636567759,0,0.11,-1.1817968186443717,-0.2255433355858824,0.15792143748976797,1.1955554705816938,1.3938578306472018,-0.5846665730435942,4,1.4710078336744923,2013-05-09,0,2013.0,0
2220,1.0250058999306462,0.18939939308666895,3,0.7533782489216946,0,0.0869,-0.9127277540815432,-0.2258151852612857,-0.633963011798738,-0.5734285512516597,-0.9134205607075555,-0.7149740696794793,4,1.567790846685334,2018-11-12,0,2018.0,0
2221,0.7635448186731495,0.3871899726336797,10,0.2164573810812676,0,0.0926,-0.1314743971145853,-0.22575917767755802,-0.17531226343500494,0.01481191865919032,-1.2857438852930727,-0.7498676595794032,4,1.3097028119897562,2021-08-22,0,2021.0,0
2222,1.0772981161821453,-1.1179480961143033,6,-0.37982307159262896,1,0.0531,-1.1712108191683737,-0.2258151852612857,-0.7357507604448504,0.5561636554612045,0.527203898302664,-1.3878154000210154,4,1.696834864033123,2021-05-21,1,2021.0,0
2223,-0.2757629793253978,-0.5052797155662463,0,0.19975317630400988,1,0.0518,-0.07541147154076389,-0.2258151852612857,0.012510367995321627,-1.212820366372149,1.9345780207996652,0.035741206935685325,4,1.277441807652809,2021-02-18,0,2021.0,0
2224,1.717877765263011,1.1108140441471326,5,1.1763525770315422,0,0.0471,0.04001219875828003,-0.2258151852612857,-0.5327811426088523,0.7266681394933345,-0.47989248362895665,0.3671371454725911,4,1.3097028119897562,2019-11-16,0,2019.0,0
2225,0.024917264120722513,0.24246515833098892,0,0.03420257538654497,0,0.122,-0.002859450209936351,-0.2258151852612857,-0.3388997166162573,0.6627289579812861,-1.418711712861559,0.7136507411501898,4,1.3097028119897562,2007-09-14,0,2007.0,0
2226,0.5674490077300278,1.5642851289622304,4,1.4245293337222282,1,0.0479,-0.9186638285540655,-0.2258151852612857,-0.30860574380491423,0.9440613566343011,-0.7131140980029238,-0.39141645625003246,4,1.696834864033123,2011-01-01,0,2011.0,0
