,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,release_date,explicit
1594,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-19,False
1595,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,0,2022-10-19,False
1596,0.409,0.57,6,-10.54,0,0.0711,0.687,0.0,0.173,0.336,128.657,223613,4,0,2022-10-19,False
1597,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,0,2022-10-19,False
1598,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,1,2022-10-17,False
1599,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,0,2022-10-19,False
1600,0.639,0.836,0,-4.878,0,0.048,0.027,0.0,0.283,0.814,104.998,216720,4,2,2022-10-17,False
1601,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,216426,3,0,2022-10-19,False
1602,0.639,0.836,0,-4.878,0,0.048,0.027,0.0,0.283,0.814,104.998,216720,4,0,2022-10-20,False
1603,0.752,0.85,8,-8.327,1,0.0819,0.025,0.000131,0.149,0.491,122.991,225333,4,0,2022-10-19,False
1604,0.456,0.437,8,-11.156,1,0.0867,0.839,0.0,0.218,0.209,108.678,171743,4,75,2019-05-24,False
1605,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178626,4,84,2019-02-08,True
1606,0.742,0.879,0,-4.274,0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,227091,4,71,2011-09-16,False
1607,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36e-06,0.0799,0.444,107.047,197549,4,70,2020-06-30,False
1608,0.527,0.525,1,-8.106,1,0.0337,0.876,1.41e-05,0.172,0.257,99.638,351587,4,70,0000,False
1609,0.537,0.628,10,-5.342,0,0.029,0.148,0.0,0.0355,0.514,97.87,334173,4,70,2022-07-16,False
1610,0.782,0.69,7,-7.811,1,0.0708,0.00909,0.000661,0.359,0.429,99.944,151218,4,69,2022-03-28,False
1611,0.39,0.682,2,-7.31,1,0.119,0.38,0.000256,0.147,0.0942,150.025,188400,4,36,2022-10-06,False
1612,0.845,0.659,9,-6.348,1,0.0373,0.159,0.0129,0.0782,0.547,125.965,210951,4,69,0000,False
1613,0.444,0.479,5,-5.586,1,0.0436,0.454,0.0,0.095,0.315,89.892,196043,4,69,2019-04-06,False
1614,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49e-05,0.409,0.473,153.947,153190,4,6,2022-10-11,False
1615,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49e-05,0.409,0.473,153.947,153190,4,0,2022-10-20,False
1616,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,170813,4,0,2022-10-20,False
1617,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,2,2022-10-10,False
1618,0.648,0.681,2,-8.389,0,0.0379,0.263,0.00761,0.0971,0.766,157.944,200773,4,0,2022-10-19,False
1619,0.658,0.679,10,-8.606,0,0.0361,0.0207,3.15e-06,0.198,0.42,94.489,185560,4,1,2022-10-14,False
1620,0.404,0.43,5,-8.313,1,0.0336,0.779,0.000172,0.0941,0.51,106.322,175874,5,69,0000,False
1621,0.53,0.438,3,-7.564,1,0.0372,0.811,0.0,0.212,0.694,117.148,136906,4,0,2022-10-19,False
1622,0.69,0.856,1,-2.549,0,0.0376,0.0689,7.82e-05,0.0761,0.74,145.966,215586,4,3,2022-10-07,False
1623,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,4,2022-10-06,False
1624,0.677,0.506,9,-6.652,0,0.0964,0.345,0.0,0.118,0.497,145.843,208520,4,0,2022-10-19,False
1625,0.409,0.57,6,-10.54,0,0.0711,0.687,0.0,0.173,0.336,128.657,223613,4,2,2022-10-17,False
1626,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,183066,4,3,2022-10-14,False
